"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"BB-007","BĂ³ng rá»• Wilson NBA DRV Pro","","","","pending",""
"BB-008","BĂ³ng rá»• Wilson NBA Forge Plus","","","","pending",""
"BB-009","GiĂ y bĂ³ng rá»• Nike Giannis Immortality 4","","","","pending",""
"BB-010","GiĂ y bĂ³ng rá»• Nike LeBron Witness 8","","","","pending",""
"BB-011","GiĂ y bĂ³ng rá»• adidas Own The Game 3.0","","","","pending",""
"BB-012","GiĂ y bĂ³ng rá»• adidas Dame Certified 3","","","","pending",""
"BB-013","GiĂ y bĂ³ng rá»• PUMA Court Pro","","","","pending",""
"BB-014","GiĂ y bĂ³ng rá»• Under Armour Curry 3Z 24","","","","pending",""
"BB-015","BĂ³ng rá»• Jordan Playground 2.0 8P","","","","pending",""
"BB-016","BĂ³ng rá»• Nike Everyday Playground 8P 2.0","","","","pending",""
